Employee ID,Total Hours,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,CheckIn Comment,CheckOut Comment
1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missed: All Days,Missed: All Days
1001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missed: All Days,Missed: All Days
1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missed: All Days,Missed: All Days
1003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missed: All Days,Missed: All Days
1004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missed: All Days,Missed: All Days
1005,72.32,0.0,12.4833,12.4333,12.35,12.4333,12.35,10.2667,Missed: Sun ,Missed: Sun 
1006,72.55,0.0,12.5,12.4333,12.35,12.45,12.5,10.3167,Missed: Sun ,Missed: Sun 
1007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missed: All Days,Missed: All Days
1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missed: All Days,Missed: All Days
1009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missed: All Days,Missed: All Days
1010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missed: All Days,Missed: All Days
1011,72.32,0.0,12.4833,12.4333,12.35,12.4333,12.3333,10.2833,Missed: Sun ,Missed: Sun 
1012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missed: All Days,Missed: All Days
1013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missed: All Days,Missed: All Days
1014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missed: All Days,Missed: All Days
1015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missed: All Days,Missed: All Days
1016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missed: All Days,Missed: All Days
1017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missed: All Days,Missed: All Days
1018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missed: All Days,Missed: All Days
1019,72.48,0.0,12.4667,12.4333,12.35,12.45,12.4833,10.3,Missed: Sun ,Missed: Sun 
1020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missed: All Days,Missed: All Days
1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missed: All Days,Missed: All Days
1022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missed: All Days,Missed: All Days
1023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missed: All Days,Missed: All Days
1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missed: All Days,Missed: All Days
1025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missed: All Days,Missed: All Days
